,returns,lagged_returns,compound,positive,negative,neutral
0,-0.007987609612205682,0.07506661316211871,0.0,0.0,0.0,1.0
1,-0.05813319954847607,-0.007987609612205682,0.34,0.092,0.05,0.858
2,0.019987471875639207,-0.05813319954847607,0.0,0.0,0.0,1.0
3,0.0754869705989869,0.019987471875639207,0.0,0.0,0.0,1.0
4,-0.04122459880065055,0.0754869705989869,-0.4767,0.0,0.091,0.909
5,0.006355878554607397,-0.04122459880065055,-0.4767,0.0,0.097,0.903
6,0.00732222837300589,0.006355878554607397,0.4939,0.096,0.0,0.904
7,-0.0452626583068968,0.00732222837300589,0.0,0.0,0.0,1.0
8,-0.03042829857931506,-0.0452626583068968,0.0,0.0,0.0,1.0
9,0.016622591613147053,-0.03042829857931506,0.0,0.0,0.0,1.0
10,0.03517014386579609,0.016622591613147053,0.5719,0.128,0.0,0.872
11,0.020000512833662443,0.03517014386579609,0.0,0.0,0.0,1.0
12,0.04726111767515517,0.020000512833662443,0.0,0.0,0.0,1.0
13,0.047336709954631795,0.04726111767515517,0.0,0.0,0.0,1.0
14,-0.03073502784717297,0.047336709954631795,-0.8519,0.0,0.243,0.757
15,0.07798533932371732,-0.03073502784717297,0.0,0.0,0.0,1.0
16,-0.01434588049486707,0.07798533932371732,-0.2111,0.073,0.1,0.827
17,-0.06529576712511675,-0.01434588049486707,-0.2111,0.073,0.1,0.827
18,0.017880952380952442,-0.06529576712511675,-0.3818,0.0,0.098,0.902
19,0.016256929662463948,0.017880952380952442,0.7109,0.16,0.0,0.84
0,0.0011794439764112319,0.010384746339802575,0.0,0.0,0.0,1.0
1,-0.0038707505890273053,0.0011794439764112319,0.34,0.092,0.05,0.858
2,0.00354789660415622,-0.0038707505890273053,0.0,0.0,0.0,1.0
3,-0.009764309764309753,0.00354789660415622,0.0,0.0,0.0,1.0
4,-0.005100306018361089,-0.009764309764309753,-0.4767,0.0,0.091,0.909
5,0.0011107313738891733,-0.005100306018361089,-0.4767,0.0,0.097,0.903
6,0.002901766663821803,0.0011107313738891733,0.4939,0.096,0.0,0.904
7,-0.0021274785124669737,0.002901766663821803,0.0,0.0,0.0,1.0
8,-0.00017056114617097773,-0.0021274785124669737,0.0,0.0,0.0,1.0
9,-0.0058000682360968,-0.00017056114617097773,0.0,0.0,0.0,1.0
10,0.0077213452299245144,-0.0058000682360968,0.5719,0.128,0.0,0.872
11,0.014813553550144798,0.0077213452299245144,0.0,0.0,0.0,1.0
12,-0.01291946308724834,0.014813553550144798,0.0,0.0,0.0,1.0
13,-0.007309195988441264,-0.01291946308724834,0.0,0.0,0.0,1.0
14,-0.023116438356164393,-0.007309195988441264,-0.8519,0.0,0.243,0.757
15,-0.013146362839614345,-0.023116438356164393,0.0,0.0,0.0,1.0
16,-0.000710479573712286,-0.013146362839614345,-0.2111,0.073,0.1,0.827
17,-0.005154639175257714,-0.000710479573712286,-0.2111,0.073,0.1,0.827
18,-0.00035733428622464203,-0.005154639175257714,-0.3818,0.0,0.098,0.902
19,0.009115281501340444,-0.00035733428622464203,0.7109,0.16,0.0,0.84
0,-0.022015073383577888,0.030662305805396528,0.0,0.0,0.0,1.0
1,-0.010342729669438389,-0.022015073383577888,0.34,0.092,0.05,0.858
2,-0.0016393442622950616,-0.010342729669438389,0.0,0.0,0.0,1.0
3,0.02504105090311981,-0.0016393442622950616,0.0,0.0,0.0,1.0
4,-0.031237484981978314,0.02504105090311981,-0.4767,0.0,0.091,0.909
5,-0.017982637453493266,-0.031237484981978314,-0.4767,0.0,0.097,0.903
6,-0.0027362660492527002,-0.017982637453493266,0.4939,0.096,0.0,0.904
7,-0.016251582946390952,-0.0027362660492527002,0.0,0.0,0.0,1.0
8,0.0031109204033470395,-0.016251582946390952,0.0,0.0,0.0,1.0
9,-0.014650839482408307,0.0031109204033470395,0.0,0.0,0.0,1.0
10,-0.0008682439765573813,-0.014650839482408307,0.5719,0.128,0.0,0.872
11,0.017162719965239992,-0.0008682439765573813,0.0,0.0,0.0,1.0
12,0.0008543357539512186,0.017162719965239992,0.0,0.0,0.0,1.0
13,-0.002560819462227859,0.0008543357539512186,0.0,0.0,0.0,1.0
14,-0.00492083868207116,-0.002560819462227859,-0.8519,0.0,0.243,0.757
15,-0.010320361212642348,-0.00492083868207116,0.0,0.0,0.0,1.0
16,-0.009558983271779176,-0.010320361212642348,-0.2111,0.073,0.1,0.827
17,-0.02215398113621414,-0.009558983271779176,-0.2111,0.073,0.1,0.827
18,0.003140421713772934,-0.02215398113621414,-0.3818,0.0,0.098,0.902
19,0.0013416815742397503,0.003140421713772934,0.7109,0.16,0.0,0.84
0,-0.012869797760320933,0.009107775341541613,0.0,0.0,0.0,1.0
1,0.007845129247093352,-0.012869797760320933,0.34,0.092,0.05,0.858
2,0.004816038528308253,0.007845129247093352,0.0,0.0,0.0,1.0
3,-0.010031767262999591,0.004816038528308253,0.0,0.0,0.0,1.0
4,-0.0126104824635479,-0.010031767262999591,-0.4767,0.0,0.091,0.909
5,-0.006670847824847392,-0.0126104824635479,-0.4767,0.0,0.097,0.903
6,-0.005223280909195216,-0.006670847824847392,0.4939,0.096,0.0,0.904
7,-0.002192602850383696,-0.005223280909195216,0.0,0.0,0.0,1.0
8,0.004279188110796195,-0.002192602850383696,0.0,0.0,0.0,1.0
9,-0.0032245062474807185,0.004279188110796195,0.0,0.0,0.0,1.0
10,0.003581537750563024,-0.0032245062474807185,0.5719,0.128,0.0,0.872
11,0.006849709319058261,0.003581537750563024,0.0,0.0,0.0,1.0
12,0.0009147038646240002,0.006849709319058261,0.0,0.0,0.0,1.0
13,-0.015764222069911016,0.0009147038646240002,0.0,0.0,0.0,1.0
14,-0.002263231197771498,-0.015764222069911016,-0.8519,0.0,0.243,0.757
15,-0.022334671087070324,-0.002263231197771498,0.0,0.0,0.0,1.0
16,-0.0067225890891784434,-0.022334671087070324,-0.2111,0.073,0.1,0.827
17,-0.0070076665069478405,-0.0067225890891784434,-0.2111,0.073,0.1,0.827
18,-0.005790457808070304,-0.0070076665069478405,-0.3818,0.0,0.098,0.902
19,0.0036401140569071178,-0.005790457808070304,0.7109,0.16,0.0,0.84
